,,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna,kwarantanna
date,,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
poddębicki,łódzkie,"0,0","0,1","0,25","0,0","0,0","0,35","0,35","0,0","0,3","0,3","0,1","0,45","0,74","0,95","0,05","0,35","0,25","0,0","1,94","5,96","1,84","0,0","0,0","0,0","0,0","0,84","1,15","0,6","1,19","3,58","1,64","6,9","11,72","26,76","38,67","52,43","44,53","36,89","43,34","48,25","34,4","27,16","19,66","24,33","24,67","16,04","10,23","6,01","4,17","6,85","14,55","17,38","21,5","20,9","34,4","51,08","44,73","57,64","45,66"
policki,zachodniopomorskie,"0,2","0,18","0,23","0,28","0,33","0,05","0,0","0,15","0,03","0,0","0,46","0,25","0,0","0,0","0,0","0,0","0,0","0,0","0,13","0,33","0,13","0,35","0,48","0,66","0,63","0,3","0,1","0,58","1,72","3,85","5,34","13,18","26,06","32,69","51,37","63,74","85,2","55,31","46,81","52,63","61,24","69,84","58,1","51,4","47,93","29,81","21,15","24,14","17,38","19,91","25,41","27,48","33,7","54,56","66,85","86,31","64,75","64,58","43,22"
polkowicki,dolnośląskie,"0,0","0,1","0,23","0,26","0,1","0,0","0,0","0,23","0,23","0,87","0,94","0,39","0,45","0,13","0,16","0,0","0,2","0,23","0,03","0,1","2,1","2,81","0,91","1,17","3,14","1,03","0,55","0,23","2,62","5,31","10,71","16,6","26,47","38,09","34,76","78,09","73,94","33,36","26,93","20,94","12,91","7,7","8,12","9,86","9,68","9,35","9,71","10,26","7,8","8,54","8,48","9,29","18,44","33,23","55,27","85,79","78,93","79,22","60,62"
poznański,wielkopolskie,"0,14","0,35","0,68","0,24","-0,21","0,51","0,2","0,15","0,35","0,3","0,12","0,16","-0,0","0,13","0,09","0,11","0,08","-0,08","0,21","0,27","0,27","1,25","6,72","7,08","3,86","3,63","3,11","3,08","4,19","11,34","20,54","41,43","72,69","13,7","20,05","90,61","73,77","64,25","50,0","45,52","44,37","44,69","40,81","44,34","37,09","27,89","23,58","19,89","18,94","23,31","31,5","39,87","54,13","82,53","123,98","144,0","101,8","83,05","58,13"
proszowicki,małopolskie,"0,0","0,0","0,0","0,38","0,8","0,14","0,33","0,19","0,14","0,66","0,0","0,0","0,0","0,0","0,05","0,47","0,47","0,0","0,24","1,32","0,61","0,57","0,9","1,6","1,27","1,74","1,6","6,94","1,46","3,12","4,11","15,82","24,93","47,03","90,09","42,73","29,27","21,34","12,14","10,25","4,34","3,59","3,82","5,9","5,05","4,54","5,53","7,36","8,21","5,43","9,68","18,65","29,94","34,33","40,56","56,66","52,36","49,58","46,34"
prudnicki,opolskie,"0,0","0,0","0,41","0,37","0,0","0,0","0,0","0,0","0,26","0,22","0,85","0,99","0,33","0,37","0,33","-1,0","-0,11","0,41","0,19","0,67","0,89","0,45","0,59","0,22","1,03","1,33","0,0","0,07","1,26","4,14","7,72","38,39","55,9","65,95","82,65","108,14","69,35","44,0","27,3","16,11","18,18","13,97","7,43","3,75","12,78","14,59","3,66","3,47","3,29","3,1","4,99","7,65","12,3","20,21","25,16","42,05","42,23","42,75","36,36"
pruszkowski,mazowieckie,"0,0","0,37","0,8","1,0","2,56","3,7","1,32","1,09","0,75","0,86","0,58","0,43","0,46","0,87","1,6","0,41","0,22","0,4","0,71","0,5","0,79","1,24","2,77","1,86","2,07","2,07","1,23","2,41","2,72","2,29","4,71","10,17","18,41","35,87","68,16","55,86","51,03","45,57","37,42","29,38","27,18","26,75","27,18","27,26","24,26","22,18","21,51","20,17","20,28","25,33","30,57","40,3","57,9","76,14","89,61","102,91","75,94","61,89","42,67"
przasnyski,mazowieckie,"0,0","0,0","0,0","0,0","0,19","0,31","0,04","0,23","1,28","1,05","0,42","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,42","0,19","0,62","1,79","1,63","0,97","9,95","8,59","8,16","17,64","24,1","38,59","31,71","31,13","26,43","23,51","19,74","22,54","30,78","29,34","24,56","19,09","19,82","21,38","15,62","18,66","21,88","29,5","35,72","44,34","41,39","43,57","53,75","46,71","33,15","35,52","25,84"
przemyski,podkarpackie,"0,0","0,0","0,19","0,61","-0,42","0,0","0,19","0,74","0,61","0,0","0,0","0,08","0,33","1,82","2,34","0,8","1,79","3,53","1,02","0,5","3,36","9,15","7,25","5,92","6,59","3,33","1,35","0,72","2,04","3,64","9,23","15,24","38,11","60,13","57,34","52,82","49,38","51,89","25,38","18,49","12,4","13,45","10,2","13,44","12,65","10,47","11,13","8,05","6,09","7,03","12,29","18,0","26,98","33,65","41,97","49,82","44,01","44,39","31,75"
przeworski,podkarpackie,"0,0","0,0","0,0","0,42","0,75","0,55","0,23","0,05","0,0","0,0","0,0","0,0","0,0","0,1","0,78","0,96","1,35","3,26","2,53","2,16","2,58","1,74","1,1","4,09","5,86","4,71","3,33","4,11","4,4","3,91","12,47","21,15","31,93","43,15","71,59","68,21","40,24","24,71","13,15","12,63","27,5","6,9","6,48","16,96","12,74","7,55","5,05","6,75","8,75","10,52","22,97","28,7","35,08","50,13","61,36","63,31","50,21","44,59","25,27"
przysuski,mazowieckie,"0,0","0,0","0,0","0,0","2,66","2,07","0,73","0,29","0,69","0,44","0,0","0,0","0,1","5,96","7,19","5,91","3,69","3,99","1,13","0,64","0,05","0,29","0,3","0,79","1,13","2,27","1,48","1,43","1,18","1,03","4,28","15,9","37,02","55,29","52,72","40,96","20,18","31,21","12,11","7,28","20,92","13,83","5,76","6,72","6,99","8,17","5,96","3,99","3,74","4,48","4,97","5,46","10,44","22,05","36,48","44,65","36,53","35,39","27,91"
pszczyński,śląskie,"0,0","0,0","0,0","0,0","0,0","0,16","0,4","0,18","3,62","9,29","15,28","18,26","13,54","16,32","11,67","15,24","10,34","3,11","2,87","5,22","9,44","9,66","4,87","8,09","5,67","1,68","0,9","0,97","1,46","2,01","2,71","8,64","13,27","24,57","43,77","78,84","61,33","33,48","20,6","18,5","15,31","12,15","12,1","10,59","11,01","13,39","8,55","8,38","7,23","8,36","17,05","23,88","34,14","47,9","78,09","101,33","81,59","73,44","56,74"
pucki,pomorskie,"0,0","0,0","0,0","0,3","0,42","0,61","0,11","0,18","0,07","0,09","0,11","0,05","0,0","0,0","0,0","0,31","0,02","0,66","1,6","2,59","1,08","2,66","4,38","4,17","2,83","1,98","1,55","3,18","5,63","8,38","16,32","23,24","26,96","35,41","55,59","70,58","58,13","52,15","37,95","27,76","28,18","32,98","37,93","53,18","43,18","35,55","26,63","15,82","18,25","19,83","26,18","33,86","44,26","48,99","73,6","78,42","53,7","39,04","26,07"
puławski,lubelskie,"0,0","0,0","0,15","0,65","1,12","1,17","0,88","0,11","0,09","0,13","0,0","0,0","0,07","0,22","0,83","0,68","0,13","0,9","0,32","0,29","0,63","0,76","0,6","0,94","1,84","0,59","1,64","1,46","3,28","4,83","5,14","15,74","27,98","49,55","81,26","57,41","57,83","46,33","36,57","31,72","30,31","22,14","20,85","18,91","21,19","18,11","11,86","11,7","13,71","13,24","16,52","21,1","24,2","35,98","50,46","72,11","64,9","54,61","42,74"
pułtuski,mazowieckie,"0,0","0,0","0,16","0,47","0,59","0,91","0,08","0,0","0,67","0,08","0,63","0,0","0,08","0,2","0,04","0,28","0,39","0,12","0,0","0,47","1,22","2,6","0,71","0,36","0,71","1,1","0,0","0,28","1,22","2,68","3,98","4,69","33,35","34,85","45,13","40,56","26,26","29,06","23,59","23,16","13,7","11,77","7,95","9,42","15,12","14,73","17,84","18,63","28,55","36,31","33,59","45,68","50,21","40,56","50,72","41,7","25,68","22,72","17,92"
pyrzycki,zachodniopomorskie,"0,0","0,0","0,0","0,0","0,26","0,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,26","0,83","0,88","0,73","2,23","2,18","1,82","0,88","0,0","0,0","0,78","0,73","1,56","3,63","14,79","33,15","45,5","44,98","104,75","58,94","38,03","41,92","37,46","37,98","44,0","39,95","43,74","31,54","22,57","17,9","13,02","18,05","25,58","29,37","28,64","28,07","38,34","48,98","42,8","43,74","33,41"
płocki,mazowieckie,"0,0","0,0","0,0","0,0","0,19","0,3","0,3","0,13","0,09","0,2","0,63","0,22","0,24","0,19","0,59","1,03","0,15","0,2","1,23","1,95","2,32","2,08","2,21","2,14","1,33","1,09","1,62","2,12","2,32","8,99","11,7","18,72","24,87","34,67","64,03","102,93","89,58","77,57","33,7","33,99","25,77","18,01","15,26","15,41","11,77","10,52","9,84","10,54","11,44","16,74","19,35","17,11","20,84","29,78","40,54","52,0","38,39","32,78","27,45"
płoński,mazowieckie,"0,0","0,0","0,0","0,0","0,11","0,14","0,07","0,0","0,12","0,26","0,28","0,0","0,14","0,72","0,37","0,05","0,07","0,4","0,05","0,16","0,14","0,4","0,59","0,49","0,59","0,33","0,26","0,98","2,18","2,63","1,66","5,86","15,5","35,96","54,85","65,78","51,81","50,24","30,66","18,97","17,21","16,34","12,52","12,03","11,21","9,12","10,25","10,46","13,17","15,85","28,18","40,72","38,92","47,33","55,75","62,66","42,01","29,28","20,84"
raciborski,śląskie,"0,0","0,17","0,21","0,34","1,21","0,77","0,32","0,34","0,94","1,72","2,06","1,42","1,44","3,81","2,89","1,98","0,81","0,83","1,04","1,66","4,68","4,87","4,73","3,06","2,66","1,92","0,79","0,6","0,64","1,62","4,64","9,96","14,35","25,54","70,8","171,72","56,88","35,81","33,16","24,67","15,97","13,58","9,64","12,19","15,48","8,79","5,26","4,41","4,02","4,89","6,49","10,33","19,9","29,4","47,45","64,24","59,94","56,28","42,99"
radomski,mazowieckie,"0,0","0,15","1,81","6,61","10,37","4,73","6,18","10,44","6,67","5,95","5,21","4,38","5,76","7,49","8,79","8,84","6,2","5,68","4,89","6,78","7,63","5,83","4,03","4,13","4,94","3,9","1,92","1,65","2,4","6,19","15,14","31,94","36,32","52,41","83,81","82,98","104,77","105,61","17,94","19,14","16,58","11,56","10,06","12,43","14,04","12,07","8,98","12,07","10,08","10,47","13,07","20,31","25,22","37,6","49,44","49,33","44,5","44,42","34,99"
radomszczański,łódzkie,"0,0","0,07","0,42","1,16","1,12","0,94","0,36","0,69","1,16","0,63","0,04","0,02","0,13","0,09","0,52","0,67","0,8","0,4","0,04","0,06","0,23","0,09","0,07","0,47","0,54","0,56","0,13","0,36","1,88","3,71","7,61","21,11","46,49","61,89","72,7","66,98","42,29","30,71","19,79","19,28","17,14","15,82","14,84","15,72","15,8","12,79","14,33","10,56","9,73","9,56","13,48","15,71","23,88","36,54","53,14","67,0","59,32","54,53","45,56"
radziejowski,kujawsko-pomorskie,"0,0","0,0","0,0","0,2","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,1","0,25","0,0","0,15","0,56","0,41","8,25","3,14","2,38","0,3","0,4","0,76","4,66","16,2","28,09","30,07","47,48","67,22","65,7","48,64","57,3","64,23","66,3","42,47","32,14","28,4","28,7","22,17","17,72","12,0","7,59","11,94","12,65","8,1","14,02","16,91","21,71","25,51","27,28","33,46","41,55","28,91"
radzyński,lubelskie,"0,0","0,0","0,0","0,0","0,17","1,21","2,01","0,24","0,0","0,0","0,0","0,14","0,1","0,0","0,35","0,59","0,03","0,0","0,21","1,42","0,07","0,0","0,48","0,63","1,46","1,7","1,21","1,39","2,64","1,49","7,56","7,11","28,92","30,79","59,26","46,15","26,53","26,42","11,44","13,21","11,37","13,77","10,82","11,25","11,41","9,74","8,95","7,04","8,95","7,35","13,84","20,77","29,72","24,58","24,9","36,58","37,59","38,32","29,81"
rawicki,wielkopolskie,"0,0","0,0","0,17","0,54","0,07","0,78","0,61","0,44","0,03","0,21","0,0","0,0","-0,1","-0,14","0,0","0,0","0,37","5,69","19,3","0,95","0,13","0,81","0,75","1,15","0,14","0,54","0,51","1,08","3,12","7,18","14,26","26,04","27,16","63,97","82,6","101,09","66,31","41,42","39,05","17,61","19,03","13,58","13,07","14,3","11,72","9,08","8,23","10,74","10,09","10,53","10,33","17,98","23,71","36,13","63,46","69,09","65,16","55,47","40,73"
rawski,łódzkie,"0,0","0,17","1,26","1,55","0,84","0,0","0,12","0,67","0,46","1,38","0,51","0,21","1,22","1,39","0,21","0,42","0,76","1,09","1,51","0,97","2,52","3,07","1,47","0,59","0,5","0,75","0,42","0,04","0,38","1,3","5,04","11,76","19,7","37,63","47,0","39,65","30,28","24,28","15,83","13,94","12,43","10,29","11,89","10,63","9,49","8,95","13,32","12,47","13,86","22,01","26,38","31,71","26,59","35,41","41,96","33,98","26,59","29,73","20,05"
ropczycko-sędziszowski,podkarpackie,"0,0","0,0","0,0","0,11","0,35","0,11","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,19","0,22","1,04","0,44","0,27","1,29","1,92","2,82","3,97","3,18","4,74","7,26","22,87","37,0","50,42","50,34","40,59","21,31","11,37","9,59","9,72","6,46","8,22","7,29","6,55","5,7","7,12","6,44","7,61","8,25","11,61","15,2","22,81","20,9","21,58","27,91","27,33","21,85","17,01","9,74"
rybnicki,śląskie,"0,0","0,0","0,0","0,0","1,1","0,24","1,28","4,04","12,0","7,62","14,61","17,48","6,47","7,38","9,34","14,43","15,6","12,92","3,84","6,11","9,13","15,27","13,7","5,84","6,97","3,78","1,02","1,25","1,8","1,64","3,0","8,32","19,78","34,5","59,34","113,71","57,07","30,42","25,05","20,22","18,47","13,49","7,51","8,44","13,15","7,83","9,6","9,68","9,92","10,25","13,91","24,32","32,17","45,38","71,65","91,59","79,64","74,97","52,46"
rycki,lubelskie,"0,0","0,0","0,0","0,29","1,42","0,33","0,15","0,33","1,35","0,33","0,3","0,11","0,07","0,81","3,43","1,9","2,3","0,18","0,0","0,0","0,0","0,0","0,07","0,22","0,66","0,58","0,37","0,4","0,33","1,57","5,87","12,07","18,77","25,33","45,86","27,63","92,37","77,97","23,51","18,66","15,2","16,91","19,39","19,9","16,62","13,96","9,15","10,94","13,56","11,45","15,34","18,26","17,46","21,03","23,73","32,08","31,97","32,95","26,38"
rypiński,kujawsko-pomorskie,"0,0","0,0","0,0","0,57","0,42","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,05","0,28","0,47","0,19","0,0","0,0","0,24","0,52","0,8","1,88","1,18","0,0","1,6","4,65","5,58","4,55","7,56","14,27","27,5","40,31","38,25","28,91","26,56","20,93","14,83","17,46","12,76","7,98","10,19","14,5","7,51","6,71","14,45","13,19","17,32","10,65","11,69","28,67","49,04","56,5","64,48","53,55","47,96","24,71"
rzeszowski,podkarpackie,"0,0","0,05","0,58","0,52","0,18","0,32","0,12","0,0","0,0","0,05","0,03","0,0","0,0","0,09","0,16","0,0","0,0","0,0","0,0","0,1","0,27","0,78","1,18","0,86","1,1","1,97","2,47","2,64","2,8","7,0","10,64","12,54","28,3","40,54","61,86","122,99","46,44","30,21","20,11","13,49","13,44","10,44","8,77","14,08","11,83","10,31","7,96","8,32","13,15","21,7","36,06","47,39","56,18","70,88","74,44","71,15","45,38","34,68","18,16"
sandomierski,świętokrzyskie,"0,0","0,0","0,0","0,0","0,03","0,16","0,21","0,35","0,0","0,0","0,42","0,32","0,0","0,4","0,24","-0,03","-0,05","0,0","0,19","0,51","0,72","1,48","1,22","0,16","0,14","0,05","0,0","0,0","0,19","0,21","1,35","6,89","22,07","43,67","59,33","55,59","49,21","71,73","26,58","21,97","24,94","21,62","19,16","19,01","22,87","19,29","12,98","13,09","9,78","12,32","13,81","23,72","25,23","39,8","60,23","66,72","48,49","45,61","31,27"
sanocki,podkarpackie,"0,0","0,0","0,04","0,24","0,02","0,17","0,59","0,0","0,0","0,0","0,0","0,0","0,0","0,04","0,11","0,56","0,24","0,11","0,0","0,04","0,24","0,26","0,71","1,53","2,36","1,15","0,78","0,34","0,86","4,85","10,06","28,17","37,32","49,63","44,3","35,5","32,91","17,43","10,23","5,66","6,94","6,36","3,89","5,1","6,29","5,06","6,16","10,29","15,22","21,71","29,19","37,73","45,36","57,51","52,72","43,46","26,42","22,47","13,38"
sejneński,podlaskie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,28","6,56","1,23","0,0","1,33","6,25","0,31","0,0","0,0","0,0","0,0","0,1","0,82","0,51","0,1","5,23","6,35","16,19","25,62","33,92","63,54","55,75","44,99","42,22","24,6","11,17","12,2","11,07","14,7","13,32","9,63","11,38","7,99","19,67","6,46","13,01","13,32","21,32","26,64","29,72","29,1","20,5","24,08","17,79"
siedlecki,mazowieckie,"0,0","0,0","0,63","1,71","1,65","0,58","1,33","1,4","1,81","2,61","3,91","2,03","0,65","0,43","0,23","0,55","1,3","1,0","0,13","2,18","1,73","0,88","1,96","1,23","2,49","8,13","5,32","4,01","6,24","9,41","13,54","26,26","45,78","86,46","145,36","130,48","86,64","50,29","20,14","14,02","10,69","6,85","7,7","12,03","11,86","9,61","9,26","9,81","7,5","5,75","5,97","10,56","13,47","19,31","24,08","32,23","29,35","33,89","29,92"
siemiatycki,podlaskie,"0,0","0,0","0,14","1,34","0,74","0,83","0,51","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,14","1,38","0,74","0,0","0,0","0,74","0,55","0,09","1,62","2,4","1,62","0,42","0,0","0,42","0,69","0,65","1,02","6,51","23,6","57,49","46,73","48,54","45,58","22,58","14,78","13,25","11,87","6,79","9,0","9,1","7,67","7,53","7,02","9,47","10,48","9,28","7,02","10,76","19,53","24,8","28,12","23,37","21,38","13,77"
sieradzki,łódzkie,"0,0","0,02","0,1","0,0","0,33","0,57","0,47","0,09","0,26","0,22","0,45","0,21","2,31","14,07","8,33","4,23","1,25","1,2","2,67","1,98","2,15","1,63","1,7","1,73","1,18","0,83","0,42","0,41","1,96","1,94","4,58","9,38","19,41","34,89","36,23","40,32","36,89","44,92","34,57","24,28","19,32","16,28","17,0","17,86","17,81","10,94","8,08","7,63","7,98","8,45","7,04","10,25","14,36","21,8","37,96","49,43","50,42","63,47","49,46"
sierpecki,mazowieckie,"0,0","0,0","0,55","1,49","0,16","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12","0,7","0,0","0,04","0,9","4,91","3,77","1,14","0,75","0,9","0,9","0,51","1,02","0,94","0,15","0,27","0,04","0,63","1,33","2,28","4,48","9,15","24,0","38,22","24,55","17,28","24,0","23,06","19,09","15,12","17,83","14,84","12,25","13,83","9,58","7,7","8,56","11,31","18,58","23,73","26,2","44,86","75,82","59,04","30,48","26,79","16,06"
skarżyski,świętokrzyskie,"0,0","0,0","1,35","4,19","5,88","2,04","1,68","0,3","0,19","0,0","-2,48","1,68","0,58","2,73","0,88","0,44","0,8","0,14","0,36","0,25","0,03","0,0","0,33","0,06","0,05","1,54","3,92","2,57","1,35","1,77","3,61","16,3","22,48","48,71","46,5","53,29","48,49","38,89","32,71","21,18","12,27","9,6","5,85","9,3","9,38","6,84","5,85","9,38","11,83","11,23","10,53","16,05","21,21","31,14","52,9","77,26","56,49","46,42","32,4"
skierniewicki,łódzkie,"0,0","0,0","0,0","0,0","0,0","0,0","8,13","1,28","0,32","0,59","0,32","0,0","0,32","1,07","0,59","1,71","0,69","0,86","3,53","2,35","0,21","2,83","1,55","0,21","0,0","1,02","1,39","1,12","1,44","4,01","4,38","13,53","29,67","60,14","50,79","60,57","42,98","26,3","21,71","21,49","14,17","11,55","12,4","17,9","23,68","16,68","13,85","9,52","12,99","17,43","20,85","24,48","26,09","30,15","47,04","49,72","45,28","38,01","21,78"
sochaczewski,mazowieckie,"0,0","0,0","0,0","0,0","0,26","0,53","1,22","1,18","0,89","0,48","0,84","0,84","0,41","5,26","3,0","0,79","1,46","0,31","0,46","0,72","0,26","2,04","3,86","3,24","2,69","1,08","0,77","1,03","1,37","3,79","6,48","9,76","16,49","46,82","69,14","61,82","54,09","41,75","30,36","22,27","13,61","13,34","17,38","20,86","21,65","19,37","20,47","18,46","21,14","27,45","32,49","40,84","50,42","64,94","80,68","84,52","60,95","59,27","37,93"
sokołowski,mazowieckie,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,46","1,9","2,2","0,99","0,95","0,15","0,0","0,12","0,34","0,27","0,08","0,19","0,08","0,0","0,0","0,15","0,38","0,0","0,0","0,0","0,15","0,27","0,19","1,82","8,27","20,18","32,93","48,89","94,03","50,64","34,52","14,56","10,05","7,78","9,14","10,47","13,94","11,83","8,54","6,07","5,73","7,21","5,2","6,26","7,43","9,79","17,41","25,15","29,28","21,58","27,23","25,59"
sokólski,podlaskie,"0,0","0,0","0,0","0,06","0,64","0,15","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,28","1,83","1,22","0,09","0,0","0,0","0,0","0,0","0,86","0,0","0,0","0,0","0,52","0,34","0,0","0,15","2,11","3,73","13,0","14,08","30,57","61,15","61,67","49,24","48,97","27,33","25,09","25,22","24,79","34,12","38,16","33,45","22,4","22,46","22,59","21,42","19,43","21,06","28,25","28,61","25,89","23,69","19,31","15,73","21,09","19,54"
stalowowolski,podkarpackie,"0,0","0,09","0,44","0,58","0,96","0,98","0,44","0,0","0,07","0,13","0,06","0,0","0,02","0,71","0,38","0,42","0,29","0,09","0,23","0,67","0,67","1,48","1,64","2,98","2,31","2,14","1,02","0,77","0,98","0,58","3,08","8,55","15,4","19,21","36,93","42,69","45,31","30,49","22,83","16,88","19,26","15,34","11,26","12,46","12,11","9,58","8,01","5,83","5,12","6,62","9,64","14,11","23,52","36,95","52,06","64,42","43,34","42,73","24,47"
starachowicki,świętokrzyskie,"0,0","0,0","0,0","0,16","1,01","1,8","1,46","0,62","1,09","1,27","2,8","6,49","8,61","9,09","7,63","4,65","2,89","3,46","1,26","1,93","0,94","0,46","0,89","0,85","0,39","0,09","0,37","0,53","0,94","1,25","4,78","11,25","17,7","18,73","31,19","45,84","53,84","86,51","34,31","18,11","12,87","12,99","11,12","9,22","6,93","7,43","5,12","6,68","8,27","4,56","7,75","11,59","16,65","27,55","42,42","60,54","50,76","50,51","41,59"
stargardzki,zachodniopomorskie,"0,18","0,07","0,31","0,29","0,0","0,24","0,36","0,12","0,0","0,15","0,26","0,56","0,2","0,02","0,12","0,12","0,0","0,19","0,29","0,83","0,97","1,39","0,39","0,32","0,29","0,59","0,46","0,75","1,31","3,11","5,4","7,44","18,92","41,09","48,7","55,32","66,99","72,79","49,26","52,18","43,39","37,1","31,82","31,5","36,05","28,14","16,74","16,81","14,06","14,2","14,43","19,48","23,57","31,72","50,06","66,17","49,35","51,32","43,81"
starogardzki,pomorskie,"0,0","0,0","0,0","0,0","0,0","0,06","0,17","0,27","0,24","0,03","0,0","0,0","0,22","0,0","0,0","0,4","0,16","0,0","0,0","0,0","0,05","0,43","1,99","5,75","5,65","5,87","1,15","0,51","1,23","4,84","11,16","19,55","30,3","41,55","57,41","51,98","42,86","28,64","22,89","24,04","23,24","23,55","19,95","24,26","24,18","23,93","19,77","16,0","13,23","11,77","16,56","25,93","34,9","49,83","68,22","72,68","49,48","43,32","34,79"
staszowski,świętokrzyskie,"0,0","0,0","0,06","0,34","0,0","0,0","0,14","0,14","0,77","0,14","0,66","-0,2","-0,06","0,2","0,0","0,06","0,94","0,17","0,03","0,0","0,26","0,14","0,06","0,14","0,46","0,46","0,09","0,0","0,17","1,17","1,03","3,44","15,81","25,7","35,57","43,7","44,53","25,7","10,75","8,93","6,34","7,28","11,26","12,41","8,22","5,09","3,41","2,82","7,17","4,78","5,94","7,11","11,37","15,01","28,92","49,33","45,52","38,22","25,99"
strzelecki,opolskie,"0,28","0,14","0,25","1,7","0,88","1,57","1,35","0,82","0,63","1,37","2,5","1,84","3,24","2,94","1,92","1,02","0,08","0,33","0,24","0,77","0,66","0,8","0,8","1,18","1,54","0,52","0,61","0,63","1,76","2,31","6,92","22,06","57,54","77,93","93,72","119,62","78,91","61,28","42,52","34,91","30,35","19,94","16,98","15,0","15,11","13,32","8,79","8,1","7,28","8,46","8,38","12,06","13,49","24,72","42,03","56,86","50,02","44,5","33,65"
strzelecko-drezdenecki,lubuskie,"0,0","0,0","0,21","0,08","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,58","1,87","0,29","0,17","0,0","0,0","0,0","0,5","1,33","0,21","0,0","0,5","1,79","9,62","13,16","28,73","35,64","40,85","34,73","25,77","25,23","22,86","28,4","29,27","24,15","25,21","27,73","25,74","19,74","17,41","20,45","18,82","25,69","34,19","46,14","57,76","84,24","56,72","39,81","32,77","20,17"
strzeliński,dolnośląskie,"0,0","0,19","1,13","1,55","1,92","4,92","3,89","2,9","0,84","0,05","0,05","-0,05","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,03","0,89","2,11","1,83","0,7","0,89","1,4","1,22","1,36","3,42","13,49","30,03","45,67","57,1","70,73","66,14","41,97","31,33","23,56","20,94","17,33","18,13","19,24","15,32","8,2","6,84","13,54","5,48","5,43","13,68","27,82","55,41","100,28","129,47","132,84","78,13","76,4","49,38"
strzyżowski,podkarpackie,"0,0","0,0","0,2","0,67","0,26","0,23","0,03","0,0","0,0","0,0","0,0","0,0","0,0","0,4","0,76","0,34","0,3","0,07","0,0","0,0","0,0","0,27","0,23","0,33","4,32","4,89","2,4","3,49","9,74","3,79","5,85","17,16","25,23","47,04","62,9","60,11","49,9","26,0","17,42","17,36","19,08","15,46","5,92","8,11","5,95","5,65","6,22","9,47","8,38","9,64","15,66","23,54","32,05","41,32","50,57","47,14","37,87","34,15","22,25"
sulęciński,lubuskie,"0,0","0,23","0,7","0,29","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,12","0,87","1,04","1,22","-0,52","-0,17","0,29","0,64","2,55","1,97","3,48","5,97","9,45","21,98","35,43","47,55","42,62","38,33","52,83","56,77","58,92","41,75","35,26","28,24","23,27","31,08","20,01","15,19","10,15","17,98","13,22","18,91","21,51","26,09","41,58","71,5","82,75","65,64","47,96","44,08"
